,Coefficients,P-Values,Standard Errors,t-values,Confidence Interval Lower,Confidence Interval Upper
const,161.87441796060227,0.01994983066773499,69.0842738638571,2.3431442339483035,25.776739707577264,297.9720962136273
bewohner,-4.555384064068965,0.30634188185705563,4.443666168011293,-1.0251409290963165,-13.309513109264781,4.1987449811268505
miete,0.04926260289911098,0.6955834969539837,0.12574511856339127,0.3917655290473679,-0.19845829986168734,0.29698350565990933
sentiment,-0.5773408355193788,0.04434274330769392,0.2855874742006722,-2.0215901875083704,-1.1399550167649268,-0.014726654273830797
verbindung,-84.5057157642443,0.0770190298847409,47.582546110551114,-1.7759813770349233,-178.24447407811726,9.233042549628678
mean_ndvi,-150.02193775921415,0.4127824812287455,182.85262272782379,-0.8204527532674326,-510.24599489810913,210.20211937968082
