,Coefficients,P-Values,Standard Errors,t-values,Confidence Interval Lower,Confidence Interval Upper
const,30.11188445778391,1.1357706546192057e-54,1.4685739886725133,20.50416573495416,27.21894403056414,33.00482488500368
bewohner,-1.2489696025813415,1.299159972099633e-14,0.1519885600600698,-8.217523753680648,-1.5483715076022444,-0.9495676975604386
mean_ndvi,5.784351035491666,0.4640561267271395,7.8874912436435,0.7333575222860949,-9.753199312042495,21.321901383025825
