plz_code,mean_ndvi,count,Rent Coefficients,Duration Coefficients
52076,0.2831342252349747,0,,
52074,0.2829467001703744,25,0.9480117386576672,-84.41220155048708
52080,0.2398796295166843,2,-0.6254115476460486,-109.30712472946404
52078,0.2303409670650326,6,-3.189889769191737,78.6467623843399
52072,0.2299447531747412,33,1.162274562423125,-19.38527888991027
52066,0.2072449875138453,24,-0.8414098202005691,-66.15678359320036
52070,0.2009260314387747,42,-1.8734051391774147,-72.74475401576115
52068,0.1458912153618275,9,-0.662744446855426,-56.45441016214811
52064,0.1350379815970025,50,-1.5009737703490222,
52062,0.0991578319467241,48,,
